FD ACL,FD AHD,TR ACL,TR AHD
10.56,4.04,6133.94,6.00
9.92,2.90,4076.10,6.00
1.00,0.00,135.50,6.39
10.37,4.69,933.43,5.95
10.47,4.62,4080.09,5.99
11.70,6.03,39.40,5.96
1.00,0.00,13499.94,6.03
1.00,0.00,6684.18,6.01
1.72,1.50,5756.21,6.00
1.71,1.50,7583.86,6.00
1.00,0.00,17.68,5.92
1.54,0.77,384.03,5.93
1.62,0.32,4644.35,6.01
1.00,0.00,5803.10,6.00
1.00,0.00,3.00,5.95
1.00,0.00,84.75,5.86
1.00,0.00,262.02,5.91
1.00,0.00,7796.01,6.01
11.50,4.76,6466.53,5.96
11.20,4.74,3131.68,5.90
14.76,6.12,3657.33,6.00
11.46,4.44,5740.48,6.00
8.16,4.80,8410.80,6.00
8.28,4.74,7124.80,6.00
10.53,4.38,6119.93,6.00
10.42,3.74,7336.30,6.00
1.33,0.12,4237.04,6.03
1.00,0.00,6059.65,6.01
1.18,0.36,5149.63,6.02
1.00,0.00,41.22,5.99
1.00,0.00,365.40,6.04
1.00,0.00,9131.20,6.01
1.00,0.00,7488.06,5.95
1.00,0.00,663.52,6.00
1.77,0.48,330.68,5.98
14.19,1.22,3643.51,5.99
10.03,9.08,8005.13,6.00
10.64,9.04,8428.40,6.00
2.04,0.44,7349.73,6.20
11.94,3.74,354321.36,6.01
10.28,4.46,5863.18,6.00
11.33,4.48,1058.96,6.00
1.00,0.00,167.07,6.09
1.01,0.12,3205.99,6.02
1.82,0.56,5679.94,6.00
1.00,0.00,7182.94,6.00
1.00,0.00,491.00,5.89
1.00,0.00,8400.54,6.05
1.00,0.00,7057.70,5.99
1.00,0.00,2582.54,6.00
11.94,5.92,60.00,6.03
11.77,6.12,7747.97,6.00
11.19,8.04,6691.48,6.00
11.22,6.10,7371.50,6.00
11.68,4.54,5906.93,6.01
11.62,4.42,1888.74,5.98
10.76,3.82,7555.90,6.00
10.59,2.98,2905.88,6.00
2.59,1.02,6372.00,6.00
1.00,0.00,6878.74,6.00
1.03,0.36,513.82,6.00
1.00,0.00,511.00,6.01
1.00,0.00,6858.91,6.00
1.00,0.00,2902.72,6.00
1.00,0.00,60.74,6.02
1.00,0.00,4.00,6.00
